rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
1518.545,,,html-keyboard-response,134,553303,0.0-134.0,"<h1 style=""font-size: 35px;"">NEUTRON<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BANKER</h1>",65,"2,4",0
null,,,html-keyboard-response,135,558063,0.0-135.0,"<h1 style=""font-size: 35px"">POLICE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">OUTFIT</h1>",null,,
1173.805,,,html-keyboard-response,136,559991,0.0-136.0,"<h1 style=""font-size: 35px;"">POLICE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>DRILL</h1>",65,"0,many",0
null,,,html-keyboard-response,137,564751,0.0-137.0,"<h1 style=""font-size: 35px"">DRUG</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WAITER</h1>",null,,
1620.755,,,html-keyboard-response,138,567128,0.0-138.0,"<h1 style=""font-size: 35px;"">DRUG<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>WAITRESS</h1>",65,"0,16",0
null,,,html-keyboard-response,139,571885,0.0-139.0,"<h1 style=""font-size: 35px"">AIRPORT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BUBBLE</h1>",null,,
3566.35,,,html-keyboard-response,140,576208,0.0-140.0,"<h1 style=""font-size: 35px;"">WAITER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BOX</h1>",65,"2,16",0
null,,,html-keyboard-response,141,580967,0.0-141.0,"<h1 style=""font-size: 35px"">SKIRT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PENGUIN</h1>",null,,
1112.61,,,html-keyboard-response,142,582832,0.0-142.0,"<h1 style=""font-size: 35px;"">AIRPORT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SKIRT</h1>",76,"0,2",1
null,,,html-keyboard-response,143,587585,0.0-143.0,"<h1 style=""font-size: 35px"">PERMIT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">COUCH</h1>",null,,
2349.65,,,html-keyboard-response,144,590688,0.0-144.0,"<h1 style=""font-size: 35px;"">RAFT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PENGUIN</h1>",76,"2,many",1
null,,,html-keyboard-response,145,595441,0.0-145.0,"<h1 style=""font-size: 35px"">SWAMP</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LAKE</h1>",null,,
1395.48,,,html-keyboard-response,146,597592,0.0-146.0,"<h1 style=""font-size: 35px;"">PERMIT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>LOFT</h1>",65,"4,many",0
null,,,html-keyboard-response,147,602349,0.0-147.0,"<h1 style=""font-size: 35px"">NURSE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">COSTUME</h1>",null,,
1408.295,,,html-keyboard-response,148,604512,0.0-148.0,"<h1 style=""font-size: 35px;"">ROOSTER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>NURSE</h1>",76,"0,68",1
null,,,html-keyboard-response,149,609269,0.0-149.0,"<h1 style=""font-size: 35px"">CLAMP</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WHISTLE</h1>",null,,
2975.695,,,html-keyboard-response,150,613001,0.0-150.0,"<h1 style=""font-size: 35px;"">LION<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PLAID</h1>",65,"16,many",0
null,,,html-keyboard-response,151,617753,0.0-151.0,"<h1 style=""font-size: 35px"">PALACE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GREASE</h1>",null,,
3325.755,,,html-keyboard-response,152,621832,0.0-152.0,"<h1 style=""font-size: 35px;"">SPONGE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>OUTFIT</h1>",76,"16,68",1
null,,,html-keyboard-response,153,626594,0.0-153.0,"<h1 style=""font-size: 35px"">SALAD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CROSS</h1>",null,,
938.705,,,html-keyboard-response,154,628288,0.0-154.0,"<h1 style=""font-size: 35px;"">CLAMP<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SALAD</h1>",76,"0,4",1
null,,,html-keyboard-response,155,633048,0.0-155.0,"<h1 style=""font-size: 35px"">FLUTE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BADGE</h1>",null,,
5980.835,,,html-keyboard-response,156,639785,0.0-156.0,"<h1 style=""font-size: 35px;"">JELLY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PACKAGE</h1>",76,"68,many",0
null,,,html-keyboard-response,157,644546,0.0-157.0,"<h1 style=""font-size: 35px"">CARRIAGE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CARROT</h1>",null,,
6283.14,,,html-keyboard-response,158,651585,0.0-158.0,"<h1 style=""font-size: 35px;"">FLUTE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>COURSE</h1>",76,"2,68",0
null,,,html-keyboard-response,159,656347,0.0-159.0,"<h1 style=""font-size: 35px"">CONCERT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TREAT</h1>",null,,
